name,gender,age,ethnicity,years_experience,education_level,hired,zip_code
Candidate_QS3D6,Male,48,Asian,7,Masters,1,90002
Candidate_09SKD,Female,28,Hispanic,5,Masters,0,10012
Candidate_3OCWB,Female,26,Black,1,Bachelors,0,10016
Candidate_B85P8,Male,50,Hispanic,9,Masters,0,90037
Candidate_935A0,Female,32,Hispanic,3,PhD,0,10048
Candidate_FAO72,Female,31,Asian,15,PhD,1,10036
Candidate_92H3T,Male,40,White,9,Bachelors,1,90022
Candidate_FOQMF,Male,49,Black,9,Masters,0,90026
Candidate_YKL1C,Female,36,White,3,PhD,1,10014
Candidate_SKRT0,Female,50,Asian,9,Masters,1,10027
Candidate_KO8G8,Male,36,Asian,7,Masters,1,90007
Candidate_Z7SRC,Female,23,Hispanic,4,Masters,0,10039
Candidate_0ME8F,Male,29,Asian,11,PhD,1,90024
Candidate_9RGEZ,Male,36,Hispanic,6,Bachelors,0,90003
Candidate_1945N,Female,36,Asian,1,Masters,1,10023
Candidate_8B25S,Male,36,White,9,Masters,1,90026
Candidate_XWQZX,Male,25,White,1,Bachelors,1,90020
Candidate_QAKOI,Female,43,Black,6,Masters,0,10036
Candidate_9BH81,Male,46,Asian,6,Masters,1,90008
Candidate_MTTQL,Female,28,Black,14,PhD,0,10025
Candidate_DU1EM,Male,32,Hispanic,1,PhD,0,90030
Candidate_S55J2,Female,35,Hispanic,5,PhD,0,10018
Candidate_WUZKA,Male,33,Hispanic,7,Masters,0,90012
Candidate_3KKV9,Female,37,Asian,9,PhD,0,10031
Candidate_K93TY,Female,39,Asian,12,PhD,1,10007
Candidate_JXEPQ,Female,45,Asian,14,Bachelors,1,10033
Candidate_UE8YF,Female,23,Hispanic,3,PhD,0,10010
Candidate_FODRO,Male,30,White,9,Masters,1,90014
Candidate_U9BVM,Female,47,Hispanic,8,PhD,0,10033
Candidate_V1ES5,Male,48,Hispanic,2,Bachelors,0,90020
Candidate_K83TQ,Female,32,Hispanic,13,Bachelors,0,10050
Candidate_XC08D,Male,38,White,10,Masters,1,90030
Candidate_PG8SB,Female,29,Asian,7,Bachelors,0,10030
Candidate_PDZP6,Male,32,White,2,Bachelors,1,90018
Candidate_NS832,Male,26,Asian,10,PhD,1,90031
Candidate_KXO9T,Female,22,Asian,6,Masters,0,10012
Candidate_9EITN,Male,33,Asian,2,PhD,1,90047
Candidate_GET8T,Male,30,White,13,Masters,1,90019
Candidate_BR7TC,Female,38,White,9,Bachelors,1,10005
Candidate_SMDYV,Male,38,Asian,10,Bachelors,1,90026
Candidate_9RBSV,Male,49,White,2,Masters,1,90007
Candidate_2HGJ1,Male,46,White,8,Bachelors,1,90041
Candidate_K51FP,Female,30,White,10,Masters,1,10007
Candidate_KZEBB,Female,31,Black,7,PhD,0,10049
Candidate_7Y6WK,Female,39,Asian,13,Masters,0,10014
Candidate_WDL9Z,Male,38,Black,8,Masters,0,90037
Candidate_H8JWW,Male,24,Hispanic,10,PhD,0,90010
Candidate_C2V37,Female,36,Asian,6,PhD,0,10020
Candidate_L3Q4N,Male,40,Asian,9,Masters,1,90050
Candidate_PBN78,Female,23,Hispanic,10,PhD,0,10016
Candidate_FLZM7,Male,50,Black,13,Bachelors,0,90017
Candidate_QM5K8,Female,35,Hispanic,9,Bachelors,0,10031
Candidate_KI7P5,Female,39,White,9,PhD,1,10035
Candidate_A0GNZ,Male,38,Asian,6,Masters,1,90048
Candidate_SQ0OX,Male,26,White,5,Masters,1,90022
Candidate_MY4SJ,Female,49,White,13,PhD,1,10028
Candidate_N9T84,Female,22,White,8,PhD,1,10049
Candidate_K8R2Y,Male,31,Black,10,PhD,0,90004
Candidate_WVFGY,Male,41,White,9,Masters,1,90003
Candidate_HJ7XV,Female,27,White,7,Masters,1,10025
Candidate_VYIE6,Female,29,White,2,Bachelors,1,10027
Candidate_P84DY,Male,39,Asian,8,Masters,1,90018
Candidate_CKW5N,Female,28,White,9,PhD,1,10015
Candidate_7EEDT,Female,30,Asian,12,Bachelors,1,10046
Candidate_BA75U,Male,40,Asian,8,PhD,1,90027
Candidate_SES6M,Male,45,White,6,Bachelors,1,90010
Candidate_UU9K9,Male,43,Asian,9,Bachelors,1,90037
Candidate_IVSOL,Male,32,White,1,Bachelors,1,90005
Candidate_SDBDW,Female,47,Asian,14,Bachelors,1,10025
Candidate_AT9MX,Female,46,Black,10,Bachelors,0,10016
Candidate_XLPU0,Male,24,Asian,14,PhD,1,90027
Candidate_JGF1C,Male,46,Asian,13,PhD,1,90049
Candidate_X2EK3,Male,44,Hispanic,10,PhD,0,90031
Candidate_XAJI0,Female,43,White,2,Masters,1,10003
Candidate_ZGF9Q,Male,50,Black,14,Bachelors,0,90006
Candidate_OMV2X,Male,24,Asian,11,PhD,1,90044
Candidate_KQ1UY,Female,32,Asian,1,Masters,0,10012
Candidate_12VJ9,Male,26,Asian,13,Bachelors,1,90008
Candidate_1GV0E,Female,48,Asian,7,Bachelors,0,10038
Candidate_0HP87,Female,41,Hispanic,1,Bachelors,0,10047
Candidate_5TD44,Male,31,White,10,Bachelors,1,90018
Candidate_XULJY,Female,32,White,4,Masters,1,10009
Candidate_M35IX,Female,34,Hispanic,6,Bachelors,0,10050
Candidate_K8YQK,Male,34,Asian,13,Bachelors,1,90025
Candidate_FM8ZO,Male,41,White,12,PhD,1,90025
Candidate_XLEZ8,Male,43,White,8,PhD,1,90028
Candidate_XRGHC,Female,45,White,3,Masters,1,10004
Candidate_4874F,Female,37,Asian,13,Masters,1,10004
Candidate_6RE4Q,Male,50,Black,15,PhD,0,90021
Candidate_UY5X9,Male,32,Asian,9,Masters,1,90005
Candidate_49KWV,Female,45,Asian,1,Bachelors,0,10041
Candidate_3J2D5,Female,49,Hispanic,10,Bachelors,0,10030
Candidate_KBP2Q,Male,25,Black,6,PhD,0,90002
Candidate_PUXQP,Female,28,Black,9,PhD,0,10011
Candidate_I4E8X,Female,26,Hispanic,10,PhD,0,10019
Candidate_NJ48V,Male,26,Asian,6,PhD,1,90043
Candidate_E6GBP,Female,38,Black,7,PhD,0,10048
Candidate_WYJXR,Male,36,Asian,3,Bachelors,1,90049
Candidate_DD4V3,Female,45,Asian,14,Bachelors,1,10025
Candidate_LCMPI,Male,35,White,1,Bachelors,1,90006
Candidate_3T60R,Female,30,Asian,11,PhD,0,10018
Candidate_8VMUH,Male,43,Asian,13,Bachelors,1,90023
Candidate_N2Y8F,Male,41,Black,5,Bachelors,0,90005
Candidate_LKQZF,Male,36,Black,6,Bachelors,0,90047
Candidate_YZTKK,Male,27,Hispanic,6,Masters,0,90033
Candidate_3FB9W,Female,46,Asian,9,Masters,0,10041
Candidate_E1V2I,Female,38,Hispanic,5,Masters,0,10020
Candidate_3BME9,Female,27,Asian,9,PhD,1,10028
Candidate_J7YHL,Female,46,White,3,Bachelors,1,10021
Candidate_52960,Male,48,Asian,14,Bachelors,1,90039
Candidate_OS9XT,Female,35,Asian,10,PhD,0,10024
Candidate_QBKK4,Female,24,Black,9,Masters,0,10041
Candidate_606N9,Male,37,Black,5,PhD,0,90018
Candidate_IXN8B,Male,26,Black,1,Masters,0,90029
Candidate_8QOLD,Female,27,Hispanic,2,PhD,0,10032
Candidate_OC6UZ,Female,28,Asian,13,PhD,1,10030
Candidate_65KXV,Female,26,Asian,13,Bachelors,1,10035
Candidate_20479,Female,39,Asian,9,Masters,0,10038
Candidate_W9JA2,Male,33,Hispanic,10,PhD,0,90041
Candidate_7C3DD,Male,45,Asian,12,Bachelors,1,90036
Candidate_9XPSE,Female,29,White,1,Bachelors,1,10038
Candidate_8DZR1,Female,44,Hispanic,1,PhD,0,10032
Candidate_XK5BX,Male,30,Hispanic,5,Masters,0,90028
Candidate_4N1U3,Male,49,White,9,PhD,1,90045
Candidate_QACJ4,Male,39,Black,15,Masters,0,90016
Candidate_RNUJJ,Male,36,Hispanic,9,Masters,0,90045
Candidate_HAFEY,Female,40,Asian,10,PhD,0,10017
Candidate_1SWJC,Female,31,Asian,6,Masters,0,10021
Candidate_JA26Y,Male,27,White,3,Masters,1,90038
Candidate_UZNOF,Female,44,Asian,6,Bachelors,0,10050
Candidate_ENULQ,Male,30,Black,5,Bachelors,0,90007
Candidate_TVHHP,Female,22,Hispanic,7,PhD,0,10044
Candidate_XKXWD,Female,46,Asian,3,Masters,0,10015
Candidate_B1QX6,Female,27,Black,11,PhD,0,10032
Candidate_DOM5I,Female,28,Asian,15,Masters,1,10012
Candidate_R7KO6,Female,48,Hispanic,5,PhD,0,10048
Candidate_OYIPK,Male,45,Asian,6,PhD,1,90016
Candidate_GW6M7,Male,23,Hispanic,12,Bachelors,0,90042
Candidate_DZ4X1,Male,45,White,3,Masters,1,90015
Candidate_YMU59,Female,45,Asian,3,Bachelors,0,10011
Candidate_SAL8M,Male,46,Asian,5,Bachelors,1,90009
Candidate_1JHUW,Male,22,Black,8,PhD,0,90035
Candidate_BHSAH,Female,42,Asian,5,Masters,1,10038
Candidate_Y9V86,Female,41,Black,5,PhD,0,10028
Candidate_C3C54,Male,41,Asian,9,PhD,1,90036
Candidate_O3O0L,Male,32,Asian,6,Bachelors,1,90044
Candidate_FCD6M,Male,44,White,7,PhD,1,90012
Candidate_5RTWI,Male,43,Asian,14,PhD,1,90006
Candidate_I1B0Z,Female,47,Hispanic,14,PhD,0,10042
Candidate_7DIA5,Male,39,Asian,2,PhD,1,90015
Candidate_JD84U,Female,22,Black,8,Masters,0,10037
Candidate_TP0LZ,Female,30,Hispanic,12,Bachelors,0,10008
Candidate_GE4QX,Male,42,White,15,Masters,1,90016
Candidate_8S8HM,Male,23,Black,14,PhD,0,90042
Candidate_GDPPQ,Female,45,White,8,PhD,1,10042
Candidate_C9XQY,Male,33,Hispanic,11,PhD,0,90041
Candidate_RMJKV,Female,50,Hispanic,10,Bachelors,0,10034
Candidate_VNYRU,Male,29,Asian,7,Masters,1,90030
Candidate_877VR,Female,25,Asian,11,Masters,1,10016
Candidate_WRPBJ,Female,26,Hispanic,12,PhD,0,10032
Candidate_5M9J9,Male,23,Hispanic,1,PhD,0,90026
Candidate_WOCLY,Male,39,Asian,10,PhD,1,90046
